#At time x allocated y bytes for process z from i to j
At time 1 allocated 256 bytes for process 1 from 0 to 256
At time 21 freed 256 bytes for process 1 from 0 to 256
At time 21 allocated 256 bytes for process 3 from 0 to 256
At time 33 freed 256 bytes for process 3 from 0 to 256
At time 33 allocated 256 bytes for process 2 from 0 to 256
At time 48 freed 256 bytes for process 2 from 0 to 256
At time 48 allocated 256 bytes for process 4 from 0 to 256
At time 57 freed 256 bytes for process 4 from 0 to 256
At time 57 allocated 128 bytes for process 5 from 0 to 128
At time 60 freed 128 bytes for process 5 from 0 to 128
